operation,operationLabel,backend,pushes,cacheState,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial
cloneStyleTraversal,Clone-style traversal,hsqldb,10,cold,read-optimized,0.0721479752317836,0.0016842433889143272,0.067712,0.07872,0.10473216000000014,2,95258,3012,2,10000,100661,8449,70.0,-6608,8,True,21.0.12.1,sample,0.0011161437353652687,1.5234520678065344,62716,True
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,cold,none,0.07290274561110749,0.0017971627940399871,0.06912,0.07961599999999999,0.098688,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,cold,compact-only,0.07189784043541744,0.0018162404788597578,0.067968,0.079744,0.097152,2,95258,3012,2,10000,98409,8449,60.0,-8860,8,True,21.0.12.1,sample,0.0010049051756900462,1.378418833565767,59708,True
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,cold,read-optimized,0.07167959554299022,0.0017797553119277593,0.06784,0.07961599999999999,0.09663999999999999,2,95258,3012,2,10000,100661,8449,77.0,-6608,8,True,21.0.12.1,sample,0.001223150068117268,1.6777832684684353,62953,True
lookupMissingObject,Missing-object lookup,hsqldb,10,cold,none,0.00020668578606938554,4.209217685898984e-06,0.00019099999999999998,0.00022099999999999998,0.000341,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupMissingObject,Missing-object lookup,hsqldb,10,cold,compact-only,0.00017255119868519764,4.58886623701426e-06,0.00015999999999999999,0.00018999999999999998,0.0003,2,95258,3012,2,10000,98409,8449,52.0,-8860,8,True,21.0.12.1,sample,3.41345873841879e-05,16.515207955678544,1523382,True
lookupMissingObject,Missing-object lookup,hsqldb,10,cold,read-optimized,0.00016961027217327578,3.730246508007925e-06,0.00015999999999999999,0.00018999999999999998,0.00027,2,95258,3012,2,10000,100661,8449,76.0,-6608,8,True,21.0.12.1,sample,3.707551389610977e-05,17.938105276220263,2049871,True
lookupNewestObject,Newest-object lookup,hsqldb,10,cold,none,0.0036359514884233782,1.54819699138721e-05,0.0034839999999999997,0.003764,0.006312,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupNewestObject,Newest-object lookup,hsqldb,10,cold,compact-only,0.0036406217001055943,1.883184151716471e-05,0.003492,0.003724,0.006563440000000002,2,95258,3012,2,10000,98409,8449,61.0,-8860,8,True,21.0.12.1,sample,-4.670211682216048e-06,-0.12844537934803815,,False
lookupNewestObject,Newest-object lookup,hsqldb,10,cold,read-optimized,0.0036421327154363896,2.385421928463975e-05,0.003492,0.003744,0.006452159999999916,2,95258,3012,2,10000,100661,8449,79.0,-6608,8,True,21.0.12.1,sample,-6.181227013011322e-06,-0.17000301111530028,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,cold,none,0.0036770815823922334,1.7613557702098565e-05,0.003544,0.003784,0.006327999999999999,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,cold,compact-only,0.003725538856024651,0.00022554090219612918,0.003492,0.003756,0.006535999999999999,2,95258,3012,2,10000,98409,8449,61.0,-8860,8,True,21.0.12.1,sample,-4.845727363241752e-05,-1.3178188339485308,,False
lookupOldestObject,Oldest-object lookup,hsqldb,10,cold,read-optimized,0.003752003917727718,0.0002900280669407548,0.003512,0.0038439999999999998,0.006574,2,95258,3012,2,10000,100661,8449,78.0,-6608,8,True,21.0.12.1,sample,-7.492233533548448e-05,-2.037548900036685,,False
readAllRefs,Read all refs,hsqldb,10,cold,none,0.0004013117243824608,8.469054372181077e-06,0.00037099999999999996,0.00041999999999999996,0.000621,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
readAllRefs,Read all refs,hsqldb,10,cold,compact-only,0.00042090372872299816,0.00023600142057099817,0.000321,0.00037999999999999997,0.0005499999999999999,2,95258,3012,2,10000,98409,8449,55.0,-8860,8,True,21.0.12.1,sample,-1.959200434053734e-05,-4.881991516865238,,False
